-	76.13%	76.13%	79.64%	75.42%	76.95%	76.95%	75.55%	75.38%	74.64%	75.01%	75.42%	75.26%	77.7%	76.75%	77.78%	77.16%	76.66%	
76.79%	-	100.0%	76.83%	76.95%	77.16%	77.16%	76.58%	76.29%	74.85%	76.17%	77.03%	76.0%	75.59%	74.51%	76.04%	76.33%	74.35%	
76.79%	100.0%	-	76.83%	76.95%	77.16%	77.16%	76.58%	76.29%	74.85%	76.17%	77.03%	76.0%	75.59%	74.51%	76.04%	76.33%	74.35%	
79.22%	76.29%	76.29%	-	76.08%	76.41%	76.41%	76.17%	74.76%	76.0%	75.22%	75.96%	74.51%	76.41%	76.99%	75.96%	74.06%	77.08%	
75.18%	75.75%	75.75%	75.22%	-	76.08%	76.08%	75.42%	74.76%	74.97%	72.33%	74.72%	74.64%	74.27%	75.3%	74.76%	75.18%	74.85%	
75.3%	75.09%	75.09%	74.43%	75.34%	-	100.0%	77.74%	78.11%	73.69%	74.93%	75.01%	77.86%	75.51%	73.4%	74.06%	74.72%	75.71%	
75.3%	75.09%	75.09%	74.43%	75.34%	100.0%	-	77.74%	78.11%	73.69%	74.93%	75.01%	77.86%	75.51%	73.4%	74.06%	74.72%	75.71%	
74.23%	74.14%	74.14%	75.63%	74.6%	78.44%	78.44%	-	79.84%	75.3%	74.72%	74.47%	79.22%	76.04%	73.4%	72.95%	74.6%	74.68%	
75.51%	76.04%	76.04%	75.63%	75.46%	80.09%	80.09%	81.83%	-	74.89%	74.85%	75.22%	98.88%	76.66%	74.43%	74.47%	74.93%	76.25%	
76.41%	76.75%	76.75%	77.61%	76.83%	76.95%	76.95%	77.9%	76.17%	-	75.8%	77.03%	76.13%	75.38%	77.7%	76.79%	76.7%	76.25%	
74.72%	74.85%	74.85%	74.8%	72.9%	76.25%	76.25%	76.17%	74.27%	74.02%	-	77.49%	74.1%	78.07%	73.19%	74.89%	77.45%	74.18%	
74.39%	75.8%	75.8%	75.13%	74.97%	75.84%	75.84%	75.01%	74.31%	75.13%	76.75%	-	74.47%	76.08%	73.98%	75.38%	75.63%	74.76%	
75.75%	76.21%	76.21%	75.55%	75.67%	80.05%	80.05%	81.45%	99.13%	75.01%	75.13%	75.8%	-	76.46%	74.14%	74.56%	75.09%	76.83%	
