-	72.3%	72.3%	75.51%	70.4%	71.76%	71.76%	70.08%	71.07%	71.04%	70.88%	70.86%	71.36%	73.42%	74.17%	73.67%	72.52%	72.4%	
72.54%	-	100.0%	72.59%	72.87%	71.34%	71.34%	71.47%	72.02%	71.46%	72.05%	72.47%	72.13%	71.31%	71.26%	71.86%	71.99%	70.12%	
72.54%	100.0%	-	72.59%	72.87%	71.34%	71.34%	71.47%	72.02%	71.46%	72.05%	72.47%	72.13%	71.31%	71.26%	71.86%	71.99%	70.12%	
75.55%	72.61%	72.61%	-	71.9%	71.22%	71.22%	71.51%	70.59%	72.86%	71.08%	72.06%	70.7%	72.81%	74.66%	72.04%	70.07%	73.75%	
71.36%	73.09%	73.09%	71.38%	-	70.95%	70.95%	70.49%	71.65%	72.8%	68.14%	70.33%	71.73%	71.05%	73.46%	70.87%	71.3%	70.98%	
72.7%	72.42%	72.42%	72.04%	71.59%	-	100.0%	74.21%	75.83%	70.55%	71.93%	72.07%	75.76%	72.33%	72.14%	71.02%	72.22%	72.62%	
72.7%	72.42%	72.42%	72.04%	71.59%	100.0%	-	74.21%	75.83%	70.55%	71.93%	72.07%	75.76%	72.33%	72.14%	71.02%	72.22%	72.62%	
71.33%	72.36%	72.36%	72.92%	71.16%	74.68%	74.68%	-	78.14%	72.43%	71.34%	70.84%	77.7%	73.02%	71.27%	69.37%	71.48%	71.79%	
70.81%	71.18%	71.18%	70.02%	70.83%	74.65%	74.65%	76.42%	-	70.29%	69.78%	70.16%	98.71%	71.32%	71.56%	69.28%	70.12%	71.6%	
70.83%	71.31%	71.31%	71.91%	71.28%	69.61%	69.61%	70.57%	70.16%	-	70.09%	71.3%	70.38%	69.78%	75.2%	70.96%	71.02%	70.73%	
71.82%	71.51%	71.51%	71.32%	68.49%	71.07%	71.07%	70.99%	70.6%	71.35%	-	73.35%	70.92%	74.2%	71.42%	71.39%	73.57%	70.19%	
71.09%	73.06%	73.06%	72.45%	70.97%	71.45%	71.45%	69.98%	71.33%	73.04%	73.32%	-	71.87%	71.95%	72.77%	72.0%	71.76%	71.73%	
70.97%	71.21%	71.21%	69.94%	70.82%	74.4%	74.4%	75.86%	98.42%	70.36%	69.99%	70.63%	-	71.03%	71.01%	69.12%	70.21%	72.02%	
73.53%	71.68%	71.68%	72.75%	71.62%	71.69%	71.69%	71.82%	71.76%	70.4%	74.26%	72.09%	71.55%	-	72.08%	71.67%	71.44%	70.45%	
73.13%	70.56%	70.56%	73.14%	71.9%	70.61%	70.61%	69.89%	71.45%	74.74%	70.02%	71.22%	71.1%	70.99%	-	71.68%	71.16%	71.92%	
74.61%	72.91%	72.91%	72.73%	70.71%	70.35%	70.35%	69.64%	70.64%	72.59%	71.79%	71.92%	70.54%	72.07%	73.44%	-	72.3%	74.34%	
73.02%	72.66%	72.66%	70.02%	70.75%	71.6%	71.6%	70.9%	70.94%	71.59%	73.76%	71.84%	71.19%	71.67%	72.59%	72.03%	-	72.16%	
72.89%	71.07%	71.07%	74.09%	71.18%	72.36%	72.36%	71.56%	72.75%	72.13%	71.12%	71.33%	73.16%	71.19%	73.62%	73.73%	72.21%	-	

*******************************************

-	27.7%	27.7%	24.49%	29.6%	28.24%	28.24%	29.92%	28.93%	28.96%	29.12%	29.14%	28.64%	26.58%	25.83%	26.33%	27.48%	27.6%	
27.46%	-	0.0%	27.41%	27.13%	28.66%	28.66%	28.53%	27.98%	28.54%	27.95%	27.53%	27.87%	28.69%	28.74%	28.14%	28.01%	29.88%	
27.46%	0.0%	-	27.41%	27.13%	28.66%	28.66%	28.53%	27.98%	28.54%	27.95%	27.53%	27.87%	28.69%	28.74%	28.14%	28.01%	29.88%	
24.45%	27.39%	27.39%	-	28.1%	28.78%	28.78%	28.49%	29.41%	27.14%	28.92%	27.94%	29.3%	27.19%	25.34%	27.96%	29.93%	26.25%	
28.64%	26.91%	26.91%	28.62%	-	29.05%	29.05%	29.51%	28.35%	27.2%	31.86%	29.67%	28.27%	28.95%	26.54%	29.13%	28.7%	29.02%	
27.3%	27.58%	27.58%	27.96%	28.41%	-	0.0%	25.79%	24.17%	29.45%	28.07%	27.93%	24.24%	27.67%	27.86%	28.98%	27.78%	27.38%	
